SchoolName,DistrictNumber,Student,InitialGrade,InitialPlan,FinalGrade,FinalPlan
WOODLIN ELEMENTARY SCHOOL,Woodrow,1746,Pre-Kindergarten,Priority Improvement Plan,6th Grade,Priority Improvement Plan
BETHUNE ELEMENTARY SCHOOL,Bethune,1747,Pre-Kindergarten,Priority Improvement Plan,6th Grade,Priority Improvement Plan
HASKIN ELEMENTARY SCHOOL,Center,1748,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Turnaround Plan
SPRINGFIELD JUNIOR HIGH SCHOOL,Springfield,1749,7th Grade,Priority Improvement Plan,8th Grade,Priority Improvement Plan
BESSEMER ELEMENTARY SCHOOL,Pueblo,1750,Pre-Kindergarten,Priority Improvement Plan,8th Grade,Priority Improvement Plan
NIKOLA TESLA EDUCATION OPPORTUNITY CENTER,Colorado Springs,1751,6th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
MONTEREY ELEMENTARY SCHOOL,Colorado Springs,1752,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
CESAR CHAVEZ ACADEMY,Pueblo,1753,Kindergarten,Priority Improvement Plan,8th Grade,Priority Improvement Plan
THORNTON ELEMENTARY SCHOOL,Thornton,1754,Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
VENTURE PREP,Denver,1755,6th Grade,Priority Improvement Plan,9th Grade,Priority Improvement Plan
WM E BISHOP ELEMENTARY SCHOOL,Englewood,1756,Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
MUNROE ELEMENTARY SCHOOL,Denver,1757,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
OTHO E STUART MIDDLE SCHOOL,Commerce City,1758,6th Grade,Priority Improvement Plan,8th Grade,Priority Improvement Plan
LAS ANIMAS MIDDLE SCHOOL,Las Animas,1759,6th Grade,Priority Improvement Plan,8th Grade,Priority Improvement Plan
CARVER ELEMENTARY SCHOOL,Colorado Springs,1760,Kindergarten,Turnaround Plan,5th Grade,Turnaround Plan
M. SCOTT CARPENTER MIDDLE SCHOOL,Denver,1761,6th Grade,Turnaround Plan,8th Grade,Turnaround Plan
HOLYOKE JUNIOR HIGH SCHOOL,Holyoke,1762,6th Grade,Turnaround Plan,8th Grade,Turnaround Plan
GILCREST ELEMENTARY SCHOOL,Gilcrest,1763,Pre-Kindergarten,Turnaround Plan,5th Grade,Turnaround Plan
CENTRAL ELEMENTARY SCHOOL,Longmont,1764,Pre-Kindergarten,Turnaround Plan,5th Grade,Turnaround Plan
FREDERICK ELEMENTARY SCHOOL,Frederick,1765,Pre-Kindergarten,Turnaround Plan,5th Grade,Turnaround Plan
MONROE ELEMENTARY SCHOOL,Colorado Springs,1766,Pre-Kindergarten,Turnaround Plan,5th Grade,Turnaround Plan
CLAYTON PARTNERSHIP SCHOOL,Thornton,1767,Kindergarten,Turnaround Plan,8th Grade,Turnaround Plan
CLAYTON PARTNERSHIP SCHOOL,Thornton,1768,Kindergarten,Turnaround Plan,8th Grade,Turnaround Plan
FLAGLER ELEMENTARY SCHOOL,Flagler,1769,Pre-Kindergarten,Turnaround Plan,6th Grade,Turnaround Plan
DEER TRAIL JUNIOR-SENIOR HIGH SCHOOL,Deer Trail,1770,6th Grade,Turnaround Plan,12th Grade,Turnaround Plan
UNDERWOOD ELEMENTARY SCHOOL,Del Norte,1771,2nd Grade,Turnaround Plan,5th Grade,Priority Improvement Plan
MOUNTAIN VALLEY MIDDLE SCHOOL,Saguache,1772,6th Grade,Turnaround Plan,8th Grade,Turnaround Plan
ROSE HILL ELEMENTARY SCHOOL,Commerce City,1773,Pre-Kindergarten,Turnaround Plan,5th Grade,Turnaround Plan
IGNACIO INTERMEDIATE SCHOOL,Ignacio,1774,4th Grade,Turnaround Plan,6th Grade,Turnaround Plan
NUCLA JUNIOR/SENIOR HIGH SCHOOL,Nucla,1775,7th Grade,Turnaround Plan,12th Grade,Turnaround Plan
ARKANSAS ELEMENTARY SCHOOL,Aurora,1776,Pre-Kindergarten,Turnaround Plan,5th Grade,Turnaround Plan
P.S.1 CHARTER SCHOOL,Denver,1777,6th Grade,Turnaround Plan,12th Grade,Turnaround Plan
HANSON PREK-8 SCHOOL,Commerce City,1778,Pre-Kindergarten,Turnaround Plan,8th Grade,Turnaround Plan
KEMPER ELEMENTARY SCHOOL,Cortez,1779,Kindergarten,Turnaround Plan,5th Grade,Turnaround Plan
FORT LOGAN ELEMENTARY SCHOOL,Englewood,1780,3rd Grade,Turnaround Plan,5th Grade,Turnaround Plan
JEFFERSON INTERMEDIATE SCHOOL,Rocky Ford,1781,3rd Grade,Turnaround Plan,5th Grade,Turnaround Plan
NORTHEAST ELEMENTARY SCHOOL,Brighton,1782,Pre-Kindergarten,Turnaround Plan,5th Grade,Turnaround Plan
LAKE GEORGE CHARTER SCHOOL,Lake George,1783,Pre-Kindergarten,Turnaround Plan,6th Grade,Turnaround Plan
PRITCHETT MIDDLE SCHOOL,Pritchett,1784,6th Grade,Turnaround Plan,8th Grade,Turnaround Plan
SPANGLER ELEMENTARY SCHOOL,Longmont,1785,Pre-Kindergarten,Turnaround Plan,5th Grade,Turnaround Plan
JACK SWIGERT AEROSPACE ACADEMY,Colorado Springs,1786,6th Grade,Turnaround Plan,8th Grade,Turnaround Plan
ALSUP ELEMENTARY SCHOOL,Commerce City,1787,Pre-Kindergarten,Turnaround Plan,5th Grade,Turnaround Plan
HOPE ON-LINE,Englewood,1788,Kindergarten,Turnaround Plan,12th Grade,Turnaround Plan
BRIGHTON HERITAGE ACADEMY,Brighton,1789,6th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
ANTONITO JUNIOR HIGH SCHOOL,Antonito,1790,7th Grade,Turnaround Plan,8th Grade,Turnaround Plan
BESSEMER ELEMENTARY SCHOOL,Pueblo,1791,Pre-Kindergarten,Turnaround Plan,8th Grade,Turnaround Plan
FREED MIDDLE SCHOOL,Pueblo,1792,6th Grade,Turnaround Plan,8th Grade,Turnaround Plan
LEMUEL PITTS MIDDLE SCHOOL,Pueblo,1793,6th Grade,Turnaround Plan,8th Grade,Turnaround Plan
V.I.L.A.S. ONLINE SCHOOL,Vilas,1794,Kindergarten,Turnaround Plan,12th Grade,Turnaround Plan
HIGHLAND MONTESSORI SCHOOL,Denver,1795,Pre-Kindergarten,Turnaround Plan,5th Grade,Turnaround Plan
MESA ELEMENTARY SCHOOL,Westminster,1796,Pre-Kindergarten,Turnaround Plan,5th Grade,Turnaround Plan
JOHN EVANS MIDDLE SCHOOL,Greeley,1797,6th Grade,Turnaround Plan,8th Grade,Turnaround Plan
SHERRELWOOD ELEMENTARY SCHOOL,Denver,1798,Kindergarten,Turnaround Plan,5th Grade,Turnaround Plan
FAIRVIEW ELEMENTARY SCHOOL,Denver,1799,Kindergarten,Turnaround Plan,5th Grade,Turnaround Plan
FRANCIS M. DAY ELEMENTARY SCHOOL,Denver,1800,Pre-Kindergarten,Turnaround Plan,5th Grade,Turnaround Plan
JOSEPHINE HODGKINS ELEMENTARY SCHOOL,Denver,1801,Pre-Kindergarten,Turnaround Plan,5th Grade,Turnaround Plan
SOBESKY ACADEMY,Lakewood,1802,Kindergarten,Alternative Ed. Campus,12th Grade,Improvement Plan
MANNY MARTINEZ MIDDLE SCHOOL,Denver,1803,6th Grade,Turnaround Plan,8th Grade,Turnaround Plan
SPANN ELEMENTARY SCHOOL,Pueblo,1804,Pre-Kindergarten,Turnaround Plan,5th Grade,Turnaround Plan
ACE COMMUNITY CHALLENGE CHARTER SCHOOL,Denver,1805,8th Grade,Alternative Ed. Campus,10th Grade,Performance Plan
HOPE ON-LINE,Englewood,1806,Kindergarten,Turnaround Plan,12th Grade,Turnaround Plan
NEW HORIZONS DAY SCHOOL,Colorado Springs,1807,6th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
CONNECTIONS LEARNING CENTER ON THE EARLE JOHNSON C,Golden,1808,7th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
IRVING ELEMENTARY SCHOOL,Pueblo,1809,Pre-Kindergarten,Turnaround Plan,5th Grade,Turnaround Plan
JAMES H RISLEY MIDDLE SCHOOL,Pueblo,1810,6th Grade,Turnaround Plan,8th Grade,Turnaround Plan
YOUTH & FAMILY ACADEMY CHARTER,Pueblo,1811,7th Grade,Alternative Ed. Campus,12th Grade,Turnaround Plan
STEM SCHOOL,Northglenn,1817,Kindergarten,Performance Plan,6th Grade,Performance Plan
THE STUDIO SCHOOL,Northglenn,1818,Kindergarten,Performance Plan,3rd Grade,Performance Plan
WESTGATE CHARTER,Northglenn,1819,Kindergarten,Performance Plan,8th Grade,Performance Plan
WESTGATE CHARTER,Northglenn,1820,Kindergarten,Performance Plan,8th Grade,Performance Plan
APS ONLINE SCHOOL,Aurora,1821,9th Grade,Performance Plan,12th Grade,Performance Plan
FLETCHER PRIMARY SCHOOL,Aurora,1822,Pre-Kindergarten,Turnaround Plan,3rd Grade,Turnaround Plan
LOTUS SCHOOL FOR EXCELLENCE,Aurora,1823,6th Grade,Performance Plan,10th Grade,Performance Plan
LOTUS SCHOOL FOR EXCELLENCE,Aurora,1824,6th Grade,Performance Plan,10th Grade,Performance Plan
OPTIONS SCHOOL,Aurora,1825,Kindergarten,Performance Plan,12th Grade,Performance Plan
VISTA PEAK 9-12 PREPARATORY,Aurora,1826,9th Grade,Performance Plan,12th Grade,Performance Plan
VISTA PEAK P-8 EXPLORATORY,Aurora,1827,Pre-Kindergarten,Performance Plan,9th Grade,Performance Plan
AGATE ELEMENTARY SCHOOL,Agate,1828,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
AGATE JUNIOR-SENIOR HIGH SCHOOL,Agate,1829,6th Grade,Performance Plan,12th Grade,Performance Plan
AGATE JUNIOR-SENIOR HIGH SCHOOL,Agate,1830,6th Grade,Performance Plan,12th Grade,Performance Plan
ALAMOSA OPEN SCHOOL,Alamosa,1831,6th Grade,Turnaround Plan,12th Grade,Turnaround Plan
BOYD ELEMENTARY SCHOOL,Alamosa,1832,2nd Grade,Improvement Plan,3rd Grade,Improvement Plan
ARCHULETA COUNTY HIGH SCHOOL,Pagosa Springs,1834,7th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
ARICKAREE UNDIVIDED HIGH SCHOOL,Anton,1836,7th Grade,Performance Plan,12th Grade,Performance Plan
ARICKAREE UNDIVIDED HIGH SCHOOL,Anton,1837,7th Grade,Performance Plan,12th Grade,Performance Plan
BOULDER PREP CHARTER HIGH SCHOOL,Boulder,1838,9th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
BOULDER UNIVERSAL,Boulder,1839,Kindergarten,Performance Plan,12th Grade,Performance Plan
GOLD HILL ELEMENTARY SCHOOL,Gold Hill,1840,Kindergarten,Improvement Plan,5th Grade,Improvement Plan
HALCYON SCHOOL (SPECIAL EDUCATION),Boulder,1841,6th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
HALCYON SCHOOL (SPECIAL EDUCATION),Boulder,1842,6th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
JAMESTOWN ELEMENTARY SCHOOL,Jamestown,1843,Kindergarten,Performance Plan,5th Grade,Performance Plan
JUSTICE HIGH CHARTER SCHOOL,Lafayette,1844,6th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
BRANSON ELEMENTARY SCHOOL,Branson,1845,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
BRANSON SCHOOL ONLINE GED PREP,Branson,1846,9th Grade,Priority Improvement Plan,12th Grade,Improvement Plan
BRANSON UNDIVIDED HIGH SCHOOL,Branson,1847,7th Grade,Performance Plan,12th Grade,Performance Plan
EAGLE RIDGE ACADEMY,Brighton,1849,9th Grade,Performance Plan,12th Grade,Performance Plan
FOUNDATIONS ACADEMY,Brighton,1850,Kindergarten,Performance Plan,5th Grade,Performance Plan
BUENA VISTA ONLINE ACADEMY,Buena Vista,1852,3rd Grade,Performance Plan,12th Grade,Performance Plan
CHAFFEE COUNTY HIGH SCHOOL,Buena Vista,1853,9th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
FRONTIER CHARTER ACADEMY,Calhan,1854,Kindergarten,Performance Plan,8th Grade,Performance Plan
FRONTIER CHARTER ACADEMY,Calhan,1855,Kindergarten,Priority Improvement Plan,8th Grade,Priority Improvement Plan
CAMPO ELEMENTARY SCHOOL,Campo,1856,Infant,Improvement Plan,5th Grade,Improvement Plan
CAMPO UNDIVIDED HIGH SCHOOL,Campo,1857,6th Grade,Improvement Plan,12th Grade,Improvement Plan
CAMPO UNDIVIDED HIGH SCHOOL,Campo,1858,6th Grade,Priority Improvement Plan,12th Grade,Priority Improvement Plan
THE ACADEMIC RECOVERY CENTER OF SAN LUIS VALLEY,Center,1859,9th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
ANIMAS HIGH SCHOOL,Durango,1860,9th Grade,Performance Plan,12th Grade,Performance Plan
COLORADO CALVERT ACADEMY,Denver,1861,Kindergarten,Performance Plan,8th Grade,Performance Plan
COLORADO PROVOST ACADEMY,Greenwood Village,1865,9th Grade,Performance Plan,12th Grade,Performance Plan
RICARDO FLORES MAGON ACADEMY,Westminster,1867,Kindergarten,Performance Plan,4th Grade,Performance Plan
THOMAS MACLAREN STATE CHARTER SCHOOL,Colorado Springs,1868,6th Grade,Performance Plan,9th Grade,Performance Plan
PINE RIDGE ELEMENTARY SCHOOL,Aurora,1869,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
ACADEMY FOR ADVANCED AND CREATIVE LEARNING,Colorado Springs,1871,Kindergarten,Performance Plan,8th Grade,Performance Plan
LIFE SKILLS CENTER OF COLORADO SPRINGS,Colorado Springs,1874,9th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
LAMB ELEMENTARY SCHOOL,Creede,1875,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
CROWLEY COUNTY ONLINE ACADEMY,Ordway,1876,9th Grade,Turnaround Plan,12th Grade,Turnaround Plan
DEER TRAIL ELEMENTARY SCHOOL,Deer Trail,1877,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
DELTA ACADEMY OF APPLIED LEARNING,Delta,1879,5th Grade,Performance Plan,8th Grade,Performance Plan
DELTA ACADEMY OF APPLIED LEARNING,Delta,1880,5th Grade,Performance Plan,8th Grade,Performance Plan
DELTA COUNTY OPPORTUNITY SCHOOL,Delta,1881,7th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
DELTA COUNTY OPPORTUNITY SCHOOL,Delta,1882,7th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
ACADEMY OF URBAN LEARNING,Denver,1886,9th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
COLORADO HIGH SCHOOL,Denver,1887,10th Grade,Alternative Ed. Campus,12th Grade,Priority Improvement Plan
DENVER GREEN SCHOOL,Denver,1891,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
DENVER LANGUAGE SCHOOL,Denver,1892,Kindergarten,Performance Plan,2nd Grade,Performance Plan
DENVER SCHOOL OF SCIENCE AND TECHNOLOGY: GVR,Denver,1893,6th Grade,Performance Plan,6th Grade,Performance Plan
EMILY GRIFFITH OPPORTUNITY SCHOOL,Denver,1897,9th Grade,Alternative Ed. Campus,12th Grade,Performance Plan
GIRLS ATHLETIC LEADERSHIP SCHOOL,Denver,1898,6th Grade,Performance Plan,7th Grade,Performance Plan
GREENLEE ELEMENTARY SCHOOL,Denver,1899,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
JUSTICE HIGH SCHOOL DENVER,Denver,1902,7th Grade,Alternative Ed. Campus,12th Grade,Performance Plan
KIPP DENVER COLLEGIATE HIGH SCHOOL,Denver,1903,9th Grade,Improvement Plan,9th Grade,Improvement Plan
LIFE SKILLS CENTER OF DENVER,Denver,1904,9th Grade,Alternative Ed. Campus,12th Grade,Turnaround Plan
PREP ASSESSMENT CENTER,Denver,1907,6th Grade,Alternative Ed. Campus,12th Grade,Priority Improvement Plan
PREP ASSESSMENT CENTER,Denver,1908,6th Grade,Alternative Ed. Campus,12th Grade,Priority Improvement Plan
SOAR,Denver,1910,Kindergarten,Performance Plan,2nd Grade,Performance Plan
SUMMIT ACADEMY,Denver,1911,9th Grade,Performance Plan,12th Grade,Performance Plan
WEST DENVER PREP - HIGHLAND CAMPUS,Denver,1912,6th Grade,Performance Plan,6th Grade,Performance Plan
WEST DENVER PREP - LAKE CAMPUS,Denver,1913,6th Grade,Performance Plan,6th Grade,Performance Plan
WESTERLY CREEK ELEMENTARY,Denver,1914,Pre-Kindergarten,Performance Plan,3rd Grade,Performance Plan
DANIEL C OAKES HIGH SCHOOL--CASTLE ROCK,Castle Rock,1917,9th Grade,Priority Improvement Plan,12th Grade,Priority Improvement Plan
EAGLE ACADEMY,Highlands Ranch,1918,9th Grade,Improvement Plan,12th Grade,Improvement Plan
EDCSD: COLORADO CYBER SCHOOL,Castle Rock,1919,Kindergarten,Turnaround Plan,12th Grade,Turnaround Plan
EDCSD: COLORADO CYBER SCHOOL,Castle Rock,1920,Kindergarten,Priority Improvement Plan,12th Grade,Priority Improvement Plan
EDCSD: COLORADO CYBER SCHOOL,Castle Rock,1921,Kindergarten,Turnaround Plan,12th Grade,Turnaround Plan
MOUNTAIN VIEW ELEMENTARY SCHOOL,Parker,1922,Kindergarten,Performance Plan,3rd Grade,Performance Plan
NORTH STAR ACADEMY,Parker,1923,Kindergarten,Performance Plan,7th Grade,Performance Plan
SAGE CANYON ELEMENTARY,Castle Rock,1927,Kindergarten,Performance Plan,6th Grade,Performance Plan
SKYVIEW ACADEMY,Highlands Ranch,1928,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
NEW AMERICA CHARTER SCHOOL,Gypsum,1929,9th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
VAIL SKI AND SNOWBOARD ACADEMY (USSA),Eagle,1930,6th Grade,Performance Plan,12th Grade,Performance Plan
VAIL SKI AND SNOWBOARD ACADEMY (USSA),Eagle,1931,6th Grade,Performance Plan,12th Grade,Performance Plan
INDIAN PEAKS CHARTER SCHOOL,Granby,1932,Kindergarten,Improvement Plan,8th Grade,Improvement Plan
LA JUNTA JR/SR HIGH SCHOOL,La Junta,1934,7th Grade,Performance Plan,12th Grade,Performance Plan
EDISON ACADEMY,Yoder,1939,Kindergarten,Priority Improvement Plan,12th Grade,Priority Improvement Plan
EDISON JUNIOR-SENIOR HIGH SCHOOL,Yoder,1941,6th Grade,Performance Plan,12th Grade,Performance Plan
FRONTIER HIGH SCHOOL,Elizabeth,1943,9th Grade,Turnaround Plan,12th Grade,Improvement Plan
FALCON VIRTUAL ACADEMY,Falcon,1944,Kindergarten,Performance Plan,12th Grade,Performance Plan
ROCKY MOUNTAIN CLASSICAL ACADEMY,Colorado Springs,1945,Kindergarten,Performance Plan,10th Grade,Performance Plan
THE IMAGINE CLASSICAL ACADEMY AT INDIGO RANCH,Colorado Springs,1946,Kindergarten,Performance Plan,7th Grade,Performance Plan
LORRAINE SECONDARY SCHOOL,Fountain,1947,6th Grade,Priority Improvement Plan,12th Grade,Improvement Plan
WEIKEL ELEMENTARY SCHOOL,Colorado Springs,1948,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
FOCUS ACADEMY,Florence,1949,6th Grade,Performance Plan,12th Grade,Performance Plan
BEA UNDERWOOD ELEMENTARY SCHOOL,Parachute,1950,1st Grade,Priority Improvement Plan,3rd Grade,Improvement Plan
JEFFERSON HIGH SCHOOL,Greeley,1954,9th Grade,Performance Plan,12th Grade,Performance Plan
MAPLEWOOD ELEMENTARY SCHOOL,Greeley,1955,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
MARBLE CHARTER SCHOOL,Marble,1958,Kindergarten,Performance Plan,10th Grade,Performance Plan
MARBLE CHARTER SCHOOL,Marble,1959,Kindergarten,Performance Plan,10th Grade,Performance Plan
PRAIRIE HEIGHTS ELEMENTARY SCHOOL,Pueblo,1961,Kindergarten,Performance Plan,3rd Grade,Performance Plan
ADULT & FAMILY LITERACY,Colorado Springs,1962,10th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
LAKE CITY COMMUNITY SCHOOL,Lake City,1963,Pre-Kindergarten,Performance Plan,12th Grade,Performance Plan
LAKE CITY COMMUNITY SCHOOL,Lake City,1964,Pre-Kindergarten,Performance Plan,12th Grade,Performance Plan
LAKE CITY COMMUNITY SCHOOL,Lake City,1965,Pre-Kindergarten,Performance Plan,12th Grade,Performance Plan
HUERFANO COUNTY OPPORTUNITY AND ENRICHMENT SCHOOL,Walsenburg,1966,7th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
IGNACIO ELEMENTARY SCHOOL,Ignacio,1968,Kindergarten,Improvement Plan,3rd Grade,Improvement Plan
ARVADA K-8,Arvada,1969,Kindergarten,Performance Plan,8th Grade,Performance Plan
BRADFORD PRIMARY SCHOOL,Littleton,1972,Kindergarten,Performance Plan,3rd Grade,Performance Plan
CONNECTIONS LEARNING CENTER ON THE EARLE JOHNSON C,Golden,1973,7th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
JEFFCO'S 21ST CENTURY VIRTUAL ACADEMY,Golden,1974,7th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
JEFFCO'S 21ST CENTURY VIRTUAL ACADEMY,Golden,1975,7th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
LONGVIEW HIGH SCHOOL,Lakewood,1976,9th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
MC LAIN COMMUNITY HIGH SCHOOL,Lakewood,1977,8th Grade,Turnaround Plan,12th Grade,Improvement Plan
MILLER SPECIAL EDUCATION,Lakewood,1978,Pre-Kindergarten,Alternative Ed. Campus,12th Grade,Improvement Plan
MILLER SPECIAL EDUCATION,Lakewood,1979,Pre-Kindergarten,Alternative Ed. Campus,12th Grade,Improvement Plan
MILLER SPECIAL EDUCATION,Lakewood,1980,Pre-Kindergarten,Alternative Ed. Campus,12th Grade,Improvement Plan
MOUNTAIN PHOENIX COMMUNITY SCHOOL,Golden,1981,Kindergarten,Priority Improvement Plan,8th Grade,Priority Improvement Plan
MOUNTAIN PHOENIX COMMUNITY SCHOOL,Golden,1982,Kindergarten,Priority Improvement Plan,8th Grade,Priority Improvement Plan
ROCKY MOUNTAIN DEAF SCHOOL,Golden,1983,Pre-Kindergarten,Alternative Ed. Campus,8th Grade,Improvement Plan
SOBESKY ACADEMY,Lakewood,1985,Kindergarten,Alternative Ed. Campus,12th Grade,Improvement Plan
TWO ROADS CHARTER SCHOOL,Wheat Ridge,1986,6th Grade,Performance Plan,12th Grade,Performance Plan
WARREN OCCUPATION TECHNICAL CENTER,Lakewood,1987,9th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
KARVAL ELEMENTARY SCHOOL,Karval,1989,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
KARVAL JUNIOR-SENIOR HIGH SCHOOL,Karval,1990,6th Grade,Performance Plan,12th Grade,Performance Plan
KARVAL JUNIOR-SENIOR HIGH SCHOOL,Karval,1991,6th Grade,Performance Plan,12th Grade,Performance Plan
KIM ELEMENTARY SCHOOL,Kim,1992,Pre-Kindergarten,Improvement Plan,6th Grade,Improvement Plan
LONE STAR ELEMENTARY SCHOOL,Otis,1996,Kindergarten,Performance Plan,4th Grade,Performance Plan
LONE STAR MIDDLE SCHOOL,Otis,1997,5th Grade,Performance Plan,8th Grade,Performance Plan
LONE STAR MIDDLE SCHOOL,Otis,1998,5th Grade,Performance Plan,8th Grade,Performance Plan
COLORADO CONNECTIONS ACADEMY,Englewood,1999,Kindergarten,Performance Plan,12th Grade,Improvement Plan
THE NEW AMERICA SCHOOL,Denver,2002,9th Grade,Performance Plan,12th Grade,Improvement Plan
GATEWAY SCHOOL,Gateway,2004,Pre-Kindergarten,Performance Plan,12th Grade,Performance Plan
GATEWAY SCHOOL,Gateway,2005,Pre-Kindergarten,Performance Plan,12th Grade,Performance Plan
GATEWAY SCHOOL,Gateway,2006,Pre-Kindergarten,Performance Plan,12th Grade,Performance Plan
BYRON SYRING DELTA CENTER,Monte Vista,2009,7th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
BATTLE ROCK CHARTER SCHOOL,Cortez,2011,Kindergarten,Priority Improvement Plan,6th Grade,Priority Improvement Plan
PLEASANT VIEW ELEMENTARY SCHOOL,Pleasant View,2012,Kindergarten,Performance Plan,5th Grade,Performance Plan
PASSAGE CHARTER SCHOOL,Montrose,2013,9th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
VISTA CHARTER SCHOOL,Montrose,2014,9th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
MOUNTAIN BOCES DAY TREATMENT CENTER,Glenwood Springs,2015,5th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
MOUNTAIN BOCES DAY TREATMENT CENTER,Glenwood Springs,2016,5th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
MOUNTAIN BOCES DAY TREATMENT CENTER,Glenwood Springs,2017,5th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
YAMPAH TEEN PARENT PROGRAM,Glenwood Springs,2019,9th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
MOUNTAIN VALLEY ELEMENTARY SCHOOL,Saguache,2020,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
